"recordID","recordStartTime","recordStopTime","tempDegC","recordingPath","annotationPath"
"8567.240909135903","2024-09-09T13:59:03","2024-09-09T16:59:03",18.02,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 10Sept2024_1m/8567/8567.240909135903.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240909135903.Table.1.selections.txt"
"8567.240909165903","2024-09-09T16:59:03","2024-09-09T19:59:02",18.11,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 10Sept2024_1m/8567/8567.240909165903.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240909165903.Table.1.selections.txt"
"8567.240909195902","2024-09-09T19:59:02","2024-09-09T22:59:02",18.02,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 10Sept2024_1m/8567/8567.240909195902.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240909195902.Table.1.selections.txt"
"8567.240909225902","2024-09-09T22:59:02","2024-09-10T01:59:01",17.86,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 10Sept2024_1m/8567/8567.240909225902.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240909225902.Table.1.selections.txt"
"8567.240910015902","2024-09-10T01:59:01","2024-09-10T04:59:01",17.78,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 10Sept2024_1m/8567/8567.240910015902.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240910015902.Table.1.selections.txt"
"8567.240910045901","2024-09-10T04:59:01","2024-09-10T07:59:00",17.69,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 10Sept2024_1m/8567/8567.240910045901.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240910045901.Table.1.selections.txt"
"8567.240910075900","2024-09-10T07:59:00","2024-09-10T09:22:52",17.61,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 10Sept2024_1m/8567/8567.240910075900.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240910075900.Table.1.selections.txt"
"8567.240730110000","2024-07-30T11:00:02","2024-07-30T13:59:52",21.43,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240730110000.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240730110000.Table.1.selections.txt"
"8567.240730135952","2024-07-30T13:59:52","2024-07-30T16:59:48",22.27,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240730135952.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240730135952.Table.1.selections.txt"
"8567.240730165948","2024-07-30T16:59:48","2024-07-30T19:59:47",22.53,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240730165948.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240730165948.Table.1.selections.txt"
"8567.240730195947","2024-07-30T19:59:47","2024-07-30T22:59:45",22.53,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240730195947.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240730195947.Table.1.selections.txt"
"8567.240730225945","2024-07-30T22:59:45","2024-07-31T01:59:44",22.27,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240730225945.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240730225945.Table.1.selections.txt"
"8567.240731015944","2024-07-31T01:59:44","2024-07-31T04:59:42",22.19,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240731015944.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240731015944.Table.1.selections.txt"
"8567.240731045942","2024-07-31T04:59:42","2024-07-31T07:59:41",22.1,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240731045942.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240731045942.Table.1.selections.txt"
"8567.240731075941","2024-07-31T07:59:41","2024-07-31T10:59:39",22.1,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240731075941.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240731075941.Table.1.selections.txt"
"8567.240731105939","2024-07-31T10:59:39","2024-07-31T13:59:38",22.1,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240731105939.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240731105939.Table.1.selections.txt"
"8567.240731135938","2024-07-31T13:59:38","2024-07-31T16:59:37",22.53,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240731135938.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240731135938.Table.1.selections.txt"
"8567.240731165937","2024-07-31T16:59:37","2024-07-31T19:59:37",22.44,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240731165937.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240731165937.Table.1.selections.txt"
